SBY 15:54:21 [formal/fifo_sync_prove_fifo] Removing directory '/home/george/repos/verilog-fifos/fifo_sync/tb/formal/fifo_sync_prove_fifo'.
SBY 15:54:21 [formal/fifo_sync_cover_fifo] Removing directory '/home/george/repos/verilog-fifos/fifo_sync/tb/formal/fifo_sync_cover_fifo'.
SBY 15:54:21 [formal/fifo_sync_cover_fifo] Copy '/home/george/repos/verilog-fifos/fifo_sync/rtl/fifo_sync.v' to '/home/george/repos/verilog-fifos/fifo_sync/tb/formal/fifo_sync_cover_fifo/src/fifo_sync.v'.
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: smtbmc
SBY 15:54:21 [formal/fifo_sync_cover_fifo] base: starting process "cd formal/fifo_sync_cover_fifo/src; yosys -ql ../model/design.log ../model/design.ys"
SBY 15:54:21 [formal/fifo_sync_cover_fifo] base: finished (returncode=0)
SBY 15:54:21 [formal/fifo_sync_cover_fifo] prep: starting process "cd formal/fifo_sync_cover_fifo/model; yosys -ql design_prep.log design_prep.ys"
SBY 15:54:21 [formal/fifo_sync_cover_fifo] prep: finished (returncode=0)
SBY 15:54:21 [formal/fifo_sync_cover_fifo] smt2: starting process "cd formal/fifo_sync_cover_fifo/model; yosys -ql design_smt2.log design_smt2.ys"
SBY 15:54:21 [formal/fifo_sync_cover_fifo] smt2: finished (returncode=0)
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: starting process "cd formal/fifo_sync_cover_fifo; yosys-smtbmc --presat --unroll -c --noprogress -t 45  --append 0 --dump-vcd engine_0/trace%.vcd --dump-yw engine_0/trace%.yw --dump-vlogtb engine_0/trace%_tb.v --dump-smtc engine_0/trace%.smtc model/design_smt2.smt2"
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Solver: yices
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Checking cover reachability in step 0..
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Checking cover reachability in step 1..
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Reached cover statement at fifo_sync.v:286.33-287.22 ($cover$fifo_sync.v:286$390) in step 1.
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Writing trace to VCD file: engine_0/trace0.vcd
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Writing trace to Verilog testbench: engine_0/trace0_tb.v
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Writing trace to constraints file: engine_0/trace0.smtc
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Writing trace to Yosys witness file: engine_0/trace0.yw
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Checking cover reachability in step 1..
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Checking cover reachability in step 2..
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Checking cover reachability in step 3..
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Reached cover statement at fifo_sync.v:289.21-290.31 ($cover$fifo_sync.v:289$393) in step 3.
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Reached cover statement at fifo_sync.v:288.21-289.20 ($cover$fifo_sync.v:288$392) in step 3.
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Writing trace to VCD file: engine_0/trace1.vcd
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Writing trace to Verilog testbench: engine_0/trace1_tb.v
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Writing trace to constraints file: engine_0/trace1.smtc
SBY 15:54:21 [formal/fifo_sync_cover_fifo] engine_0: ##   0:00:00  Writing trace to Yosys witness file: engine_0/trace1.yw
